TagID	NPCID	CreatePosition	CreateType	DefaultInteractIDs	InteractName	InteractShape	InteractScale	FanInteractParam	FocusInteractScale	IgnoreCollider	LookIK	NPCLookIK	SceneSoundID	PlayerRotate	NPCRotate	SceneObjectName	CameraStoryKey	ActionState	ColliderState	ItemState	ObjectIDs	CreateInterval	CreateDelay	NPCIcon	ActionSwitch
2004	100172151	Street_NPCPos_Temp_Quest10020005	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2005	100172031	Street_NPCPos_Billy_Quest10020006	1	19900013,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2006	100172011	Garage_NPCPos_Nocha_Quest10020003	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2007	100172031	Garage_NPCPos_Billy_Quest10020003	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2008	100172041	Garage_NPCPos_Anbi_Quest10020003	1	19900022,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2009	100172052	Street_NPCPos_Temp_Quest10020015	1	19900022,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2010	100172011	Street_NPCPos_Nocha_Quest10020008	1	19900014,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2011	100172041	Street_NPCPos_Anbi_Quest10020006	1	19900026,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2012	100172054	Street_NPCPos_Bangboo_Quest10020018	1	19900026,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	0	AvatarCollider:true	None		0	0	None	None
2013	100172055	Street_NPCPos_Temp_Quest10020020	1	19900028,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2014	100172056	Street_NPCPos_Temp_Quest10020021	1	19900029,20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2015	100172091	Workshop_NPCPos_SisterLing	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200203	AvatarCollider:true	None		0	0	None	None
2016	100172058	Street_NPCPos_BangbooA_Quest10020006	0	10000015,20000001	A	2	0,1.8,2,120,10	None	3.0	true	true	false	0	true	false	None	Small	300101	AvatarCollider:true	None		0	0	None	None
2017	100172059	Street_NPCPos_BangbooB_Quest10020006	0		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	0	AvatarCollider:true	None		0	0	None	None
2018	100172060	Street_NPCPos_BangbooC_Quest10020006	0		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	0	AvatarCollider:true	None		0	0	None	None
2019	100172061	Street_NPCPos_RamenStore	0	10000013,20000001	A	2	0,2.4,2,150,10	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	noodle:true		0	0	None	None
2020	100172062	Street_NPCPos_TestS	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	0	AvatarCollider:true	None		0	0	None	None
2021	100172063	Street_NPCPos_TestL	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2022	100172021	WorkShop_NPCPos_Tsubaki_Quest10020106	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2023	100172064	WorkShop_NPCPos_Salesman_Quest10020103	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2024	100171011	Workshop_NPCPos_Telephone	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2025	100172082	Workshop_NPCPos_HollowPause	0		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2026	100172092	Workshop_NPCPos_HollowPause	0		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2027	100172081	Workshop_NPCPos_SisterLing	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200101	AvatarCollider:true	None		0	0	None	None
2028	100173001	Workshop_NPCPos_VHSBangboo	0	19900052	A	2	9,2,2,90,10	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2029	100172101	Street_NPCPos_TestBear	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Large	0	AvatarCollider:true	None		0	0	None	None
2031	100180131	Street_NPCPos_Quest10020151	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2032	100180714	Street_NPCPos_Quest10020152	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2033	100180812	Workshop_NPCPos_Bangboo05_VHS	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2034	100180161	Street_NPCPos_Quest10020154	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400302	AvatarCollider:true	phone:true	1006	0	0	None	None
2035	100180714	Street_NPCPos_Quest10020155	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400309	AvatarCollider:false	None		0	0	None	None
2036	100180171	Street_NPCPos_Quest10020156	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2037	100180912	Workshop_NPCPos_Bangboo01_VHS	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2038	100180712	Street_NPCPos_Quest10020157	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400409	SitDownCollider:true|WallCollider:false|AvatarCollider:false	bag:false		0	0	None	None
2039	100180713	Street_NPCPos_Quest10020158	1	100701	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400109	AvatarCollider:true	None		0	0	None	None
2040	100172021	Street_NPCPos_Quest10020118	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2041	100172091	Workshop_NPCPos_ARole4	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2042	100172081	Workshop_NPCPos_ARole4	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	200101	AvatarCollider:true	None		0	0	None	None
2043	100172091	Workshop_NPCPos_ARole5	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2044	100172081	Workshop_NPCPos_ARole5	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2045	100172021	WorkShop_NPCPos_Tsubaki_Quest10020115	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2046	100172091	Workshop_NPCPos_ARole6	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200201	AvatarCollider:true	None		0	0	None	None
2047	100172081	Workshop_NPCPos_ARole6	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200101	AvatarCollider:true	None		0	0	None	None
2051	100172091	Workshop_NPCPos_ARole1	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2052	100172081	Workshop_NPCPos_ARole1	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2053	100172091	Workshop_NPCPos_ARole2	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2054	100172081	Workshop_NPCPos_ARole2	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2055	100172091	Workshop_NPCPos_ARole3	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200203	AvatarCollider:true	None		0	0	None	None
2056	100172081	Workshop_NPCPos_ARole3	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200103	AvatarCollider:true	None		0	0	None	None
2057	100172091	Workshop_NPCPos_ARole7	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200203	AvatarCollider:true	None		0	0	None	None
2058	100172081	Workshop_NPCPos_ARole7	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200103	AvatarCollider:true	None		0	0	None	None
2059	100172091	Workshop_NPCPos_ARole8F	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200202	SitDownCollider:true|WallCollider:false|AvatarCollider:false	phone:true	1003	0	0	None	None
2060	100172081	Workshop_NPCPos_ARole8	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200102	SitDownCollider:true|WallCollider:false|AvatarCollider:false	phone:true	1004	0	0	None	None
2061	100172091	Workshop_NPCPos_ARole9	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	200201	AvatarCollider:true	None		0	0	None	None
2062	100172081	Workshop_NPCPos_ARole9	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	200101	AvatarCollider:true	None		0	0	None	None
2063	100180719	Street_NPCPos_Gate	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400409	SitDownCollider:true|WallCollider:false|AvatarCollider:false	None		0	0	None	None
2064	100180712	Street_NPCPos_Quest10020151	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400417	SitDownCollider:true|WallCollider:false|AvatarCollider:false	mask:true|computer:true	0,1026	0	0	None	None
2065	100180812	Workshop_NpcPos_Quest10020151	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400415	AvatarCollider:true	None		0	0	None	None
2066	100180912	Workshop_NpcPos_Quest10020181	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400512	AvatarCollider:true	None		0	0	None	None
2067	100172091	Workshop_NPCPos_ARole11	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2068	100172081	Workshop_NPCPos_ARole11	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2069	100172021	WorkShop_NPCPos_Tsubaki_Quest10020119	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2070	100172061	Street_NPCPos_RamenStore	1	20000002	A	2	0,2.4,2,150,10	None	3.0	true	true	true	0	true	false	None	Middle	200303	AvatarCollider:true	noodle:false		0	0	None	None
2071	100172031	Street_NPCPos_Billy_Quest10020005	1	19900047	A	1	2,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2072	100172041	Street_NPCPos_Anbi_Quest10020005	1	19900048	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2073	100172031	Garage_NPCPos_Billy_Quest10020012	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	false	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2074	100172041	Garage_NPCPos_Anbi_Quest10020012	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2075	100172011	Garage_NPCPos_Nocha_Quest10020012	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	false	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2077	100172091	Workshop_NPCPos_ARole10	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200203	AvatarCollider:true	None		0	0	None	None
2078	100172081	Workshop_NPCPos_ARole10	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200104	AvatarCollider:true	None		0	0	None	None
2081	100172091	Workshop_NPCPos_ARole12	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2082	100172081	Workshop_NPCPos_ARole12	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2083	100180812	Street_NPCPos_Joe	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400412	AvatarCollider:true	None		0	0	None	None
2084	100172042	Street_NPCPos_No11_01	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2085	100180912	Street_NPCPos_Xiute	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400512	AvatarCollider:true	None		0	0	None	None
2086	100180718	Street_NPCPos_Keli_01	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400103	AvatarCollider:true	None		0	0	None	None
2087	100172042	Workshop_NPCPos_No11_03	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2088	100180714	Workshop_NPCPos_DrawingRoom	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2089	100180715	Street_NPCPos_Bangboo_Quest10020188	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	200702	AvatarCollider:true	None		0	0	None	None
2090	100172042	Street_NPCPos_No11_01End	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2091	100172042	Street_NPCPos_No11_02	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2092	100180718	Street_NPCPos_Keli_02	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400103	AvatarCollider:true	None		0	0	None	None
2093	100180718	Street_NPCPos_Keli_02End	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400103	AvatarCollider:true	None		0	0	None	None
2094	100180717	Street_NPCPos_Quest10020155_02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200701	AvatarCollider:false	None		0	0	None	30:200703
2095	100172042	Street_NPCPos_No11_03End	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2096	100180718	Street_NPCPos_Keli_03End	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400103	AvatarCollider:true	None		0	0	None	None
2097	100172181	Street_NPCPos_Woof	0		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200501	AvatarCollider:true	None		0	0	None	None
2098	100172161	WorkShop_NPCPos_Bangboo_Quest10020106	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	200703	AvatarCollider:true	None		0	0	None	30:200703
2099	100172181	Street_NPCPos_Woof2	0		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200501	AvatarCollider:true	None		0	0	None	45:200502
2100	100172181	Street_NPCPos_Woof3	0		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200503	AvatarCollider:true	None		0	0	None	None
2101	100172091	Garage_NPCPos_Quest10020024	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2102	100172081	Garage_NPCPos_Quest10020024	1		A	1	3,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2103	100172191	Street_NPCPos_Susie	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2104	100172201	Street_NPCPos_TinMaster01	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200602	AvatarCollider:true	None		0	0	None	None
2105	100172201	Street_NPCPos_TinMaster02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200601	AvatarCollider:true	None		0	0	None	None
2106	100180715	Street_NPCPos_Bangboo_Quest10020140	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	200701	AvatarCollider:true	None		0	0	None	30:200703
2107	100180715	Workshop_NpcPos_Bangboo_Quest10020195	1	20000002	A	1	1,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	200701	AvatarCollider:true	None		0	0	None	30:200703
2108	100180715	Street_NPCPos_Bangboo_Quest10020196	1	20000002	A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	200701	AvatarCollider:true	None		0	0	None	30:200703
2109	100180112	Street_NPCPos_PAFUMEI	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400204	AvatarCollider:true	None		0	0	None	None
2110	100180412	Street_NPCPos_MEIKE	1	20000002	B	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400303	AvatarCollider:true	None		0	0	None	None
2111	100172101	Street_NPCPos_Ben	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Large	0	AvatarCollider:true	None		0	0	None	None
2112	100172071	Street_NPCPos_Anton	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2113	100172211	Street_NPCPos_OokumaMari	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2114	100172231	Street_NPCPos_Enzo	0		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2115	100172041	Street_NPCPos_Anbi02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2116	100172211	Street_NPCPos_OokumaMari02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2117	100172031	Street_NPCPos_Billy02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2118	100172021	Street_NPCPos_Tsubaki	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2119	100172071	Street_NPCPos_Anton02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2120	100172011	Street_NPCPos_Nocha02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2121	100172021	Street_NPCPos_Tsubaki02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2122	100172211	Street_NPCPos_OokumaMari04	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2123	100172101	Street_NPCPos_Ben02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Large	0	AvatarCollider:true	None		0	0	None	None
2124	100172211	Street_NPCPos_OokumaMari03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2125	100172101	Street_NPCPos_Ben03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Large	0	AvatarCollider:true	None		0	0	None	None
2126	100172031	Street_NPCPos_Billy03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2127	100172011	Street_NPCPos_Nocha03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2128	100172021	Street_NPCPos_Tsubaki03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2129	100172041	Street_NPCPos_Anbi03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2130	100172101	Street_NPCPos_Ben04	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Large	0	AvatarCollider:true	None		0	0	None	None
2131	100172211	Street_NPCPos_OokumaMari05	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2132	100172071	Street_NPCPos_Anton03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2133	100172011	Street_NPCPos_Nocha04	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2134	100172031	Street_NPCPos_Billy04	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2135	100172041	Street_NPCPos_Anbi04	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	0	AvatarCollider:true	None		0	0	None	None
2136	100180715	Workshop_NpcPos_Bangboo_Quest10020141	1	20000002	A	1	1,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	200701	AvatarCollider:true	None		0	0	None	30:200703
2140	100173012	Street_NPCPos_Schroeder02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	400418	SitDownCollider:true|WallCollider:false|AvatarCollider:false	bag:false|phone01:true	0,1017	0	0	None	None
2141	100173012	Street_NPCPos_Schroeder03	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Small	400409	SitDownCollider:true|WallCollider:false|AvatarCollider:false	bag:false|phone02:true	0,1017	0	0	None	None
2142	100172042	Garage_NPCPos_No11	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	200405	AvatarCollider:true	None		0	0	None	None
2143	100172042	Garage_NPCPos_No11_02	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	200403	AvatarCollider:true	None		0	0	None	None
2144	100172042	Garage_NPCPos_No11_03	1	20000002	A	1	2,0,0,0,0	None	3.0	true	true	true	0	true	false	None	Middle	200405	AvatarCollider:true	None		0	0	None	None
2145	100180712	Street_NPCPos_Shepherd02	1		A	1	2,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	400417	SitDownCollider:true|WallCollider:false|AvatarCollider:false	mask:true|computer:true	0,1025	0	0	None	None
2146	100172091	Workshop_NPCPos_ARole13	1		A	1	3,0,0,0,0	None	3.0	true	true	false	0	true	false	None	Middle	200201	AvatarCollider:true	None		0	0	None	None
